review,rating
lihat kampus yg begitu maju dan semakin berkualitas,5
"Universitas Mulawarman adalah perguruan tinggi negeri yang terletak di Samarinda, Kalimantan Timur, didirikan pada 27 September 1962. Universitas Mulawarman merupakan perguruan tinggi negeri tertua di Kalimantan Timur dan memiliki lebih dari 37.000 mahasiswa. Universitas ini menawarkan berbagai program studi dan fasilitas modern, termasuk perpustakaan, laboratorium, dan fasilitas olahraga. Nama “Mulawarman” diambil dari Raja Kutai yang bersejarah, mencerminkan warisan budaya daerah tersebut.",5
Saya berkuliah di jurusan manajemen,5
"Universitas Mulawarman, disingkat Unmul, adalah perguruan tinggi negeri di Samarinda, Kalimantan Timur, Indonesia. Universitas ini berdiri pada tanggal 27 September 1962, sehingga merupakan universitas tertua di Kalimantan Timur. Universitas Mulawarman merupakan perguruan tinggi dengan jumlah mahasiswa terbesar di Kalimantan, dengan jumlah mahasiswa mencapai lebih dari 37.000 orang. Kampus utamanya terletak di Gunung Kelua, sedangkan kampus lainnya terdapat di Jalan Pahlawan, Jalan Banggeris dan Jalan Flores.",4
"Universitas Mulawarman Unmul adalah perguruan tinggi negeri di Samarinda, Kalimantan Timur, Indonesia. Universitas ini berdiri pada tanggal 27 September 1962, sehingga merupakan universitas tertua di Kalimantan Timur. Universitas Mulawarman merupakan perguruan tinggi dengan jumlah mahasiswa terbesar di Kalimantan, dengan jumlah mahasiswa mencapai lebih dari 37.000 orang. Kampus utamanya terletak di Gunung Kelua, sedangkan kampus lainnya terdapat di Jalan Pahlawan, Jalan Banggeris dan Jalan Flores.

Nama Mulawarman diambil dari nama Raja Mulawarman Nala Dewa dari Kerajaan Kutai pada abad ke-4, kerajaan pertama di Indonesia yang tercatat dalam sejarah, yang berlokasi di Kalimantan Timur.

SejarahSunting

PembentukanSunting

Provinsi Kalimantan Timur pada tahun 1960-an masih berupakan daerah yang sedikit penduduknya dan penyebarannya tidak merata, bahkan banyak daerah yang terisolir. Dari kota Balikpapan ke kota Samarinda saja harus ditempuh dalam waktu 1 hari melalui jalan darat dan sungai. Banyak putra daerah Kalimantan Timur yang melanjutkan pendidikan tinggi harus menuju Banjarmasin, Makassar atau kota-kota di pulau Jawa. Karena itulah, atas keinginan masyarakat Kalimantan Timur, direncanakanlah pendirian perguruan tinggi di Samarinda. Gubernur Abdoel Moeis Hassan kemudian meminta Bupati Soebrata Yoeda Soebrata mengadakan pertemuan dengan pemuka masyarakat di Samarinda dan kemudian berdasarkan keputusan Pemerintah Daerah Kalimantan Timur pada tanggal 7 Juni 1962[4] dibentuklah Perguruan Tinggi Mulawarman di Samarinda[5].",5
"Universitas Mulawarman, disingkat Unmul, adalah perguruan tinggi negeri di Samarinda, Kalimantan Timur, Indonesia. Universitas ini berdiri pada tanggal 27 September 1962, sehingga merupakan universitas tertua di Kalimantan Timur. Universitas Mulawarman merupakan perguruan tinggi dengan jumlah mahasiswa terbesar di Kalimantan, dengan jumlah mahasiswa mencapai lebih dari 37.000 orang. Kampus utamanya terletak di Gunung Kelua, sedangkan kampus lainnya terdapat di Jalan Pahlawan, Jalan Banggeris dan Jalan Flores.

Nama Mulawarman diambil dari nama Raja Mulawarman Nala Dewa dari Kerajaan Kutai pada abad ke-4, kerajaan pertama di Indonesia yang tercatat dalam sejarah, yang berlokasi di Kalimantan Timur.

SejarahSunting

PembentukanSunting

Provinsi Kalimantan Timur pada tahun 1960-an masih berupakan daerah yang sedikit penduduknya dan penyebarannya tidak merata, bahkan banyak daerah yang terisolir. Dari kota Balikpapan ke kota Samarinda saja harus ditempuh dalam waktu 1 hari melalui jalan darat dan sungai. Banyak putra daerah Kalimantan Timur yang melanjutkan pendidikan tinggi harus menuju Banjarmasin, Makassar atau kota-kota di pulau Jawa. Karena itulah, atas keinginan masyarakat Kalimantan Timur, direncanakanlah pendirian perguruan tinggi di Samarinda. Gubernur Abdoel Moeis Hassan kemudian meminta Bupati Soebrata Yoeda Soebrata mengadakan pertemuan dengan pemuka masyarakat di Samarinda dan kemudian berdasarkan keputusan Pemerintah Daerah Kalimantan Timur pada tanggal 7 Juni 1962[4] dibentuklah Perguruan Tinggi Mulawarman di Samarinda[5].",5
satu coffee shop yang menyediakan berbagai minuman.,5
Didepan Dekanat FKIP Unmul terdapat sebuah taman yang sangat cocok untuk bersantai bagi para mahasiswa. Taman tersebut juga menyediakan tempat duduk,5
"Jurusan Manajemen Sumberdaya Perairan, Angkatan 2015",5
ada angkringan kopi'cokro murah,5
